City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tuktoyaktuk,69.4541,-133.0374,34.3,95,97,10.4,CA,1651374730
1,rikitea,-23.1203,-134.9692,76.78,73,96,9.91,PF,1651374730
2,upernavik,72.7868,-56.1549,-0.72,75,7,7.07,GL,1651374731
3,kloulklubed,7.0419,134.2556,82.9,76,90,12.17,PW,1651374731
4,mount isa,-20.7333,139.5,82.17,39,40,14.97,AU,1651374732
5,clarence town,-32.5833,151.7833,69.57,62,92,3.44,AU,1651374733
6,vao,-22.6667,167.4833,74.98,82,37,25.05,NC,1651374733
7,punta arenas,-53.15,-70.9167,42.91,81,40,9.22,CL,1651374734
8,sicamous,50.8331,-118.9856,47.93,79,86,3.67,CA,1651374734
9,busselton,-33.65,115.3333,67.05,58,0,1.92,AU,1651374735
10,kapaa,22.0752,-159.319,82.38,85,75,19.57,US,1651374615
11,jamestown,42.097,-79.2353,53.24,28,0,12.66,US,1651374735
12,lavrentiya,65.5833,-171.0,29.3,81,99,11.97,RU,1651374736
13,lompoc,34.6391,-120.4579,60.94,84,20,32.01,US,1651374717
14,east london,-33.0153,27.9116,60.28,69,34,10.92,ZA,1651374737
15,iqaluit,63.7506,-68.5145,16.7,78,95,2.28,CA,1651374737
16,esperance,-33.8667,121.9,67.06,50,0,7.29,AU,1651374738
17,frankenberg,51.0667,8.8,48.09,89,100,3.91,DE,1651374738
18,behshahr,36.6923,53.5526,60.75,94,100,8.7,IR,1651374739
19,cap malheureux,-19.9842,57.6142,73.47,86,11,1.99,MU,1651374739
20,port elizabeth,-33.918,25.5701,60.31,75,55,8.99,ZA,1651374740
21,sinnamary,5.3833,-52.95,78.37,85,54,9.84,GF,1651374741
22,ilulissat,69.2167,-51.1,15.82,53,3,0.0,GL,1651374705
23,srednekolymsk,67.45,153.6833,29.93,88,16,5.61,RU,1651374741
24,razdolinsk,58.4211,94.6658,41.32,85,100,6.08,RU,1651374742
